"country_name,Customer,Energy_Classificatory,Year,Energy_Consumption"
"Austria,Energy,Biofuels,2017,0"
"Austria,Energy,Biofuels,2018,0"
"Austria,Energy,Biofuels,2019,0"
"Austria,Energy,Biofuels,2020,0"
"Austria,Energy,Biofuels,2021,0"
"Austria,Energy,Biofuels,2022,0"
"Austria,Energy,Biofuels,2023,0"
"Poland,Energy,Biofuels,2004,NA"
"Poland,Energy,Biofuels,2005,NA"
"Poland,Energy,Biofuels,2006,NA"
"Poland,Energy,Biofuels,2007,NA"
"Poland,Energy,Biofuels,2008,NA"
"Poland,Energy,Biofuels,2009,NA"
"Poland,Energy,Biofuels,2010,NA"
"Poland,Energy,Biofuels,2011,NA"
"Poland,Energy,Biofuels,2012,NA"
"Poland,Energy,Biofuels,2013,NA"
"Poland,Energy,Biofuels,2014,NA"
"Poland,Energy,Biofuels,2015,NA"
"Poland,Energy,Biofuels,2016,NA"
"Poland,Energy,Biofuels,2017,NA"
"Poland,Energy,Biofuels,2018,NA"
"Poland,Energy,Biofuels,2019,NA"
"Poland,Energy,Biofuels,2020,NA"
"Poland,Energy,Biofuels,2021,0"
"Poland,Energy,Biofuels,2022,0"
"Poland,Energy,Biofuels,2023,0"
"Portugal,Energy,Biofuels,2004,NA"
"Portugal,Energy,Biofuels,2005,NA"
"Portugal,Energy,Biofuels,2006,NA"
"Portugal,Energy,Biofuels,2007,NA"
"Portugal,Energy,Biofuels,2008,NA"
"Portugal,Energy,Biofuels,2009,NA"
"Portugal,Energy,Biofuels,2010,NA"
"Portugal,Energy,Biofuels,2011,NA"
"Portugal,Energy,Biofuels,2012,NA"
"Portugal,Energy,Biofuels,2013,NA"
"Portugal,Energy,Biofuels,2014,NA"
"Portugal,Energy,Biofuels,2015,NA"
"Portugal,Energy,Biofuels,2016,NA"
"Portugal,Energy,Biofuels,2017,NA"
"Portugal,Energy,Biofuels,2018,NA"
"Portugal,Energy,Biofuels,2019,NA"
"Portugal,Energy,Biofuels,2020,NA"
"Portugal,Energy,Biofuels,2021,0"
"Portugal,Energy,Biofuels,2022,0"
"Portugal,Energy,Biofuels,2023,0"
"Romania,Energy,Biofuels,2004,NA"
"Romania,Energy,Biofuels,2005,NA"
"Romania,Energy,Biofuels,2006,NA"
"Romania,Energy,Biofuels,2007,NA"
"Romania,Energy,Biofuels,2008,NA"
"Romania,Energy,Biofuels,2009,NA"
"Romania,Energy,Biofuels,2010,NA"
"Romania,Energy,Biofuels,2011,NA"
"Romania,Energy,Biofuels,2012,NA"
"Romania,Energy,Biofuels,2013,NA"
"Romania,Energy,Biofuels,2014,NA"
"Romania,Energy,Biofuels,2015,NA"
"Romania,Energy,Biofuels,2016,NA"
"Romania,Energy,Biofuels,2017,NA"
"Romania,Energy,Biofuels,2018,NA"
"Romania,Energy,Biofuels,2019,NA"
"Romania,Energy,Biofuels,2020,NA"
"Romania,Energy,Biofuels,2021,NA"
"Romania,Energy,Biofuels,2022,0"
"Romania,Energy,Biofuels,2023,0"
"Slovenia,Energy,Biofuels,2004,NA"
"Slovenia,Energy,Biofuels,2005,NA"
"Slovenia,Energy,Biofuels,2006,NA"
"Slovenia,Energy,Biofuels,2007,NA"
"Slovenia,Energy,Biofuels,2008,NA"
"Slovenia,Energy,Biofuels,2009,NA"
"Slovenia,Energy,Biofuels,2010,NA"
"Slovenia,Energy,Biofuels,2011,NA"
"Slovenia,Energy,Biofuels,2012,NA"
"Slovenia,Energy,Biofuels,2013,NA"
"Slovenia,Energy,Biofuels,2014,NA"
"Slovenia,Energy,Biofuels,2015,NA"
"Slovenia,Energy,Biofuels,2016,NA"
"Slovenia,Energy,Biofuels,2017,NA"
"Slovenia,Energy,Biofuels,2018,0"
"Slovenia,Energy,Biofuels,2019,0"
"Slovenia,Energy,Biofuels,2020,0"
"Slovenia,Energy,Biofuels,2021,0"
"Slovenia,Energy,Biofuels,2022,0"
"Slovenia,Energy,Biofuels,2023,0"
"Slovakia,Energy,Biofuels,2004,NA"
"Slovakia,Energy,Biofuels,2005,NA"
"Slovakia,Energy,Biofuels,2006,NA"
"Slovakia,Energy,Biofuels,2007,NA"
"Slovakia,Energy,Biofuels,2008,NA"
"Slovakia,Energy,Biofuels,2009,NA"
"Slovakia,Energy,Biofuels,2010,NA"
"Slovakia,Energy,Biofuels,2011,NA"
"Slovakia,Energy,Biofuels,2012,NA"
"Slovakia,Energy,Biofuels,2013,NA"
"Slovakia,Energy,Biofuels,2014,NA"
"Slovakia,Energy,Biofuels,2015,NA"
"Slovakia,Energy,Biofuels,2016,NA"
"Slovakia,Energy,Biofuels,2017,NA"
"Slovakia,Energy,Biofuels,2018,NA"
"Slovakia,Energy,Biofuels,2019,0"
"Slovakia,Energy,Biofuels,2020,0"
"Slovakia,Energy,Biofuels,2021,0"
"Slovakia,Energy,Biofuels,2022,0"
"Slovakia,Energy,Biofuels,2023,9"
"Finland,Energy,Biofuels,2004,NA"
"Finland,Energy,Biofuels,2005,NA"
"Finland,Energy,Biofuels,2006,NA"
"Finland,Energy,Biofuels,2007,NA"
"Finland,Energy,Biofuels,2008,NA"
"Finland,Energy,Biofuels,2009,NA"
"Finland,Energy,Biofuels,2010,NA"
"Finland,Energy,Biofuels,2011,NA"
"Finland,Energy,Biofuels,2012,NA"
"Finland,Energy,Biofuels,2013,NA"
"Finland,Energy,Biofuels,2014,NA"
"Finland,Energy,Biofuels,2015,NA"
"Finland,Energy,Biofuels,2016,NA"
"Finland,Energy,Biofuels,2017,NA"
"Finland,Energy,Biofuels,2018,NA"
"Finland,Energy,Biofuels,2019,NA"
"Finland,Energy,Biofuels,2020,0"
"Finland,Energy,Biofuels,2021,0"
"Finland,Energy,Biofuels,2022,0"
"Finland,Energy,Biofuels,2023,0"
"Sweden,Energy,Biofuels,2004,NA"
"Sweden,Energy,Biofuels,2005,NA"
